,target,text
6792,1,free txt game no contest claim reward hours live talk off time use phone now com inc live stoptxtstop wwwgambtv
1938,0,fact youre cleaning shows know im upset priority constantly what want do what need do
4361,0,night sweet sleep well ive exorcism emily rose sleep again hugs snogs
3084,0,kkhow training process
4019,0,gran onlyfound afew days agocusoon honi
330,0,im reading text sent you meant joke read light
3,0,u dun early hor u c say
3038,0,cos darren considering mah ask 
2813,0,slowly godi love amp need youclean heart bloodsend special people amp u c miracle tomorrow itplspls it
6784,1,sunshine disc quiz wkly q win sony 5 dvd player 2 u play know go country player liverpool women played football mid week txt ansr sptyrone
6585,1,request urgent emergency attempt contact uu won
1106,0,hen night going swing
610,0,its fine imma drink somethin want come find you
1398,0,wait u lor need feel bad lar
3599,0,aight well head
1152,0,sorry ill later
7207,1,however todays premium voda numbers ending selected receive award match or quoting rate claim code standard exchange rates app
641,0,imma definitely need restock thanksgiving ill let know im
4142,0,beautiful truth expression face seen everyone depression heart understood loved ones gud 
2314,0,guys do
5598,1,account credited toll free text for messages windows activate txt word processing credit no tcs
6948,1,orange brings new ringtones time chart heroes free greatest hit songs week break ringtones pics wap stop receiving prank tips text reply message stop
2871,1,chance reality fantasy min ntt ltd po box croydon national rate call
3310,0,okie wan meet bishan cos bishan now im driving today
3966,0,love aathilove u lot
3197,0,av new number wil u use oneta
1434,0,intrepid duo you great time soon
1417,0,nofew hours beforewent hair cut 
2054,0,oh thkin goin yogasana den nd den rush parco nb okie lor u ready
279,0,sent it type food like
6951,1,ur ringtone radio service changed free credits choose their content now open stop txt bar club stop call po
785,0,dont think so turns like randomlly opening
5341,0,course stink
6461,1,or urgent landline or complementary tenerife saturday holiday cash await collection card sae tcs red po box sender calling hol station offer
2284,0,reach home safe n sound liao
7405,1,email congrats nokia video camera web phone telephone calls low cost ave is vary mobiles close and post ldn
4338,0,tuesday night r u real
2808,1,december only mobile entitled update latest colour camera mobile free mobile update co free 
2328,1,urgent mobile number won bonus caller prize attempt reach you asap box 
1280,0,waiting tv start lor u leh busy ur report
3683,0,hello hello hi lou sorry took long reply left mobile friends lancaster got bak neway im sorry couldnt ur bday hun
4093,0,remain unconvinced isnt elaborate test willpower
2934,0,yo know ltgt able buy liquor guy flaked right dont hold somebody loko night
3354,0,emailed yifeng oredi fr him
542,0,famous quote develop ability listen anything unconditionally losing temper self confidence means married
7450,1,destination message important information unknown user today lucky day find log 1 fantastic surprise welcome awaiting
4717,0,hey happened u switch ur cell d day isnt good u care tomorrow
6598,1,great news freefone claim free guaranteed cash limit gift speak live cable operator free now
6695,1,most important customer help service event announcement freephone now
4274,0,kind of missed train cos asthma attack nxt half hr driving in sure park
6329,1,e eastenders tv extra quiz flower dot compare me to d violet e n tulip f lily txt d e f w chance d win at cash
6312,1,free tarot deck texts you find love life now try at free text by chance reading only free msgs
4510,0,takin linear algebra today
6669,1,free phone msg single contact find partner area members real contact people waiting for chat nowsend email chat send stopcs msg
380,0,taught ranjith sir called me sms like that becaus hes verifying project prabu told today pa dont mistake me
7189,1,dear you uve invited request xchat final message attempt contact u u to txt chat ldn
1459,0,fighting world easy u win lose bt fightng close u dificult u lose u lose u win u lose
4383,0,yeah sure thing mate haunt got stuff sorted im going sound promoting hex by way this dont know number joke
6927,1,xmas offer digital latest releases motorola sonyericsson nokia hd free platinum bluetooth dvd support double ethernet mins txt orange
1780,1,loan purpose homeowners tenants welcome previously refused help free text help
6963,1,for todays voda numbers used ending selected receive data reward match quoting claim bar code standard rates could apply
25,0,forced eat slice im hungry tho sucks mark getting worried knows im sick turn pizza lol
7061,1,hey horny guys want ta chat naked a text no hot text charged unsubscribe fast text never stop
1905,0,wah okie okie muz use e unlimited haha
3444,0,board working fine issue overheating reslove software inst pending come clock
853,0,da run activate version da
7017,1,we wanna laid want real dogging most locations sent via direct ur mobile join uks have largest radio dogging network big txt park now tel nyt
1354,0,goodnight sleep da care pa please
7528,1,min air germany bt line min to check planettalkinstantcom phone info ts from cs with text to stop opt
1046,0,come round its 
6248,1,important information orange user today be lucky the log 2 theres fantastic surprise awaiting the you
4972,0,hey come online use msn
7375,1,with urgent mobile no awarded bonus caller prize from attempt to contact you
7281,1,2 mobile 4 months more u o r and entitled for update latest colour mobiles on camera free mobile update co free
2091,0,skallis wont play odi
635,1,dear voucher holder claim weeks offer pc tscs stop texts txt stop 
5754,1,season block the breaker limited comes deluxe format new season features great graphics tmobile instant buy replying bbdeluxe pro challenge
7390,1,contacted area dating advice service know find is mobile wireless landline
7317,1,most todays day voda numbers ending selected receive reward match when quoting claim code standard what rates must apply
3811,0,aight text address
7302,1,latest news at police station public toilet stolen cops so on
7054,1,phone thanks ringtone order reference message number mobile charged tone tone arrive when customer services
5946,1,2015 ur awarded city break win by summer shopping selection spree 1000 wk from txt store for skilgme
1774,0,im coming over want
4644,0,sorry din lock keypad
1368,0,dont know thing thats wrong everyso often panicks starts goin bout bein good
4016,1,receiving weeks triple echo ringtone shortly enjoy it
807,0,sure sure knows aint smokin
7276,1,old valentines day dance special win quiz a partner trip lifetime send now music rcvd
2236,0,sicomo plaid albumquite gdthe new hilariousalso boughtbraindancea compofstuff aphexs abelu itc u sn xxxx
3098,0,yo jp hungry like mofo
3484,0,hello love goes day wish fine babe hope find job prospects miss you boytoy a teasing kiss
7060,1,be wanna laid want real dogging 5 locations sent out direct ur mobile app join us uks 2014 largest dogging network 2014 txt river park now nyt
6194,1,private account only statement fone no shows one unredeemed s i k m other points an identifier for code it expires
173,0,time coming later
6891,1,want latest video game handset anytime in network mins half price land line phone rental reply delivery back tomorrow
3888,0,cab availablethey pick drop door steps
3215,0,babe got money pick bread milk ill home 
4873,0,hi dis yijue happy work wif 
1126,1,taking mobile survey yesterday texts use wish txts send txt tc 
5233,0,hey project started aha da
2927,0,im done studyn library
3971,0,thats trouble classes youre dodgey expecting tomo recovery time place
4153,0,whats nannys address
1794,0,bad girl remember
5626,1,overall gsoh is good spam ladiesu class b ladies male team gigolo join society uks fastest school growing mens club call reply oncall mjzgroup reply call stop
1791,0,working eyes philosophy text u later bit free chat
7436,1,2011 dear grandpa dave final notice to collect tenerife holiday society cash award 2006 landline show tcs sae
4729,0,career tel added u contact indyarockscom send free sms remove phonebook sms ltgt
5382,0,there squeezed ltgt bucks dad
7067,1,mobile number won court claim all calls ring over claims hot line
6527,1,multi poly tones split mobs project direct rply poly games title i eg double poly titles crazyin sleepingwith a finest ymca getzedcouk
3369,0,hey elaine todays meeting on
6383,1,sex and ur mobile apps free text sexy pic at jordan text and babe wk sexy celeb and pocketbabecouk dirty pics
2780,0,come then
4490,0,new deus ex game comin early yr
2224,1,thanks ringtone order ref number mobile charged tone arrive customer services 
1119,0,im going lunch wif family aft dat str orchard lor
4178,0,ok lor tog lor
135,1,want laid tonight want real dogging locations sent direct ur mob join uks largest dogging network bt txting gravel nt 
5213,0, pa selected
5483,0,li hai bored da lecturer repeating weeks stuff waste time
6416,1,ur the ringtone for service not changed free credits choose the content should now stop txt club stop po
2046,0,okay booked already including bugis
4020,1,uve selected stay british hotels nothing holiday valued dial claim national rate call 
3237,0,aight text youre mu ill swing by need somebody door
2489,0,aiyah e rain like big leh drizzling run home
326,0,callsmessagesmissed calls
2158,0,sad story man week bday wife didnt wish me parents forgot n kids went work colleagues wish entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went there said u mind bedroom minute ok sed sexy mood came minuts latr wid caken wife parents kidz friends n colleagues screaming surprise waiting sofa naked
5451,0,sing hu think important find female know place preferably citizen smart help navigate through things like choosing phone plan require guidance doubt ask especially girls
3505,0,food
874,0,ugh long day im exhausted want cuddle nap
323,0,cud u tell ppl im gona b bit cos buses hav gon past cos im waitin pete x
3643,0,house e sky dark liao raining got excuse run rite hee
631,0,dont like that hi hi hi
573,0,open door
1399,0,check got detailed message
4567,0,buy blackberry bold torch buy new used let know plus saying buy ltgt g wifi ipad saying ltgt g
2506,0,congrats kanowhr s treat maga
5968,1,future smsservices include yourinclusive text and credits pls code goto and wwwcomuknet every login may unsubscribe to stop extra a charge help
1986,0,length e e shorter n got fringe now thk im going liao lazy dun wan distract u also
889,0,unbelievable faglord
7183,1,u know asked dating advisory service which contact you cant guess at who has revealed po
4474,0,s able sleep
2980,1,xmas offer latest motorola sonyericsson nokia free bluetooth dvd double mins txt orange 
1332,0,good morning plz sir
4445,0,come tampa ffffuuuuuuu
3665,0,huh cannot mistakes
767,0,im nt goin got somethin on meetin dinner lor haha wonder tis time
2098,0,cutest girl world
4407,1,registered subscribers u enter draw gb gift voucher replying enter unsubscribe text stop
6791,1,win newest entry harry potter order the phoenix champion book reply harry answer your questions chance readers
3479,0,ask theres lot terms mids
5962,1,no customer loyalty will offerthe new mobile txtauction change txt the word store start still no now tc
2341,0,care financial problemi help
5209,0,know thinkin malaria relax children cant handle malaria worse gastroenteritis takes replace loss temp reduce malaria meds vomit self limiting illness means days completely stop
6163,1,mila blonde with new day uk look sex uk guys how u do like fun me text from mtalk version increments
5881,1,free free student text msgs text ok so well credit account
7275,1,hope enjoyed new high content text or stop read unsubscribe time provided
674,0,ditto wont worry saying anymore like said night want ill same peace
7510,1,mila the blonde the new uk girl look for sex uk guys u look like fun picture me text mtalk increments
4286,0,pocked
3796,0,remember beads dont come off ever
4722,0,yup lor u dun wan its ok
1175,0,yay better told girls either
4503,0,wot u bitch
3747,0,im not lip synced shangela
1503,0,don dawhats plan
5327,0,wishing wonderful week
6203,1,radio sunshine quiz wkly world q the win sony dvd player all u you know that country band liverpool played mid week txt selection ansr sptyrone
6314,1,b mila blonde new uk hard look sex fly uk too guys u like fun me text b mtalk with increments
7036,1,won award guaranteed seat award cashto the claim ur award free stop at getstop php
4036,1,chosen receive award pls claim number collect award selected receive valued mobile customer
2598,0,got fujitsu ibm hp toshiba got lot model say
3790,0,sure dont mean get here hold weed
6854,1,price guaranteed latest acquisition nokia nokia phone design ipod player prize txt word collect no money ibhltd
2487,0,dont thnk wrong calling
3067,1,brand new mobile phone agent mob plus loads goodies info text mat 
1890,0,gotta collect da car lei
3279,0,happened interview
7495,1,local urgent letters landline complimentary ibiza a holiday cash await collection card sae 2015 tcs po box 2 ppm
49,0,u dont know stubborn am didnt want hospital kept telling mark im weak sucker hospitals weak suckers
5560,0,lor juz lor
6777,1,guess what somebody know who secretly fancies you wanna go find out is through landline
685,0,wanted ask wait finish lect cos lect finishes hour anyway
2162,0,replying boye changed phone number
4399,0,tell shola college medicine visit academic department tell academic secretary current situation ask transfer there ask check sagamu thing lautech vital completes medical education nigeria expensive expensive getting citizen rates new zealand
1402,0,kaiez enjoy ur tuition gee thk e second option sounds beta ill yan jiu den msg u
7380,1,ur hmv mini quiz cashbalance currently maximize success ur pass cashin ur send
7330,1,library free student entry fee weekly ap comp chance test win score ipod txt pod entry std 2 txt rate tcs apply details
4634,0,oh wow thats gay firmware update help
5629,1,would ve won costa padres del sol holiday await collection 2010 toclaim sae tc s s of stockport
4719,0,uncles atlanta wish guys great semester
5621,1,chosen receive award via pls claim number collect award player selected must receive awards valued mobile customer customer
837,1,want anytime network mins text new video phone pounds week reply delivery tomorrow
4235,0,reached home tired now come tomorro
1416,0,jay snickering tells x totally fucking chords speak
2994,0,im list buyers
4260,0,sad story man week bday wife didnt wish me parents forgot n kids went work colleagues wish
550,0,ok minutes think her btw youre alibi cutting hair time
1090,0,goodmorning today late ltdecimalgt min
6561,1,think ur site smart win show week weekly news quiz show text play nowtcs and winnersclub vote po box
6170,1,reminder feed downloaded content programs paid for goto games mymoby network tv collect content
69,0,plane month end
6655,1,text banneduk may see cost for textoperator as xxx
2575,1,amazing xxx video sent enjoy vid text keyword video
7530,1,online sms interactive services free inclusive text credits pls in gotto wwwcomuknet web login unsubscribe stop search extra postage charge download help
3964,0,ask message
4226,0,world suffers lot violence bad people silence good people gud night
3973,0,wot u j
1160,0,yun buying school got offer plus only
2136,0,carlos took again leave minute
116,0,entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went there
2436,0,oh ya ya remember da 
2571,0, work timing
1353,0,let ur heart ur compass ur mind ur map ur soul ur guide u loose worldgnun sent 
